"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","60.1","%","1,653,773","993,560","61.10%","59.10%","9,691"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","79.0","%","189,807","149,941","83.10%","74.90%","933"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","64.8","%","57,883","37,523","74.30%","55.40%","245"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","72.5","%","56,037","40,626","81.40%","63.60%","240"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","74.9","%","318,583","238,708","78.40%","71.50%","1,492"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","62.5","%","1,972,938","1,232,850","63.40%","61.60%","11,187"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","39.2","%","45100","17672","45.30%","33.00%","243"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","42.5","%","56620","24091","48.30%","36.80%","284"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","25.5","%","16,052,832","4,093,514","25.80%","25.20%","84,047"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","28.2","%","183,774","51,788","33.20%","23.10%","765"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","42.3","%","1,121,452","474,238","44.50%","40.10%","4,975"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","27.3","%","531,257","145,149","30.30%","24.30%","2,143"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","37.5","%","386,561","145,076","41.30%","33.80%","1,622"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","36.7","%","2,223,044","816,251","38.20%","35.20%","9,505"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","26.9","%","18,288,254","4,915,182","27.20%","26.60%","93,609"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.5","%","10,967,790","1,257,506","11.70%","11.20%","52,705"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","8.8","%","142,795","12,538","12.60%","5.00%","532"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","12.8","%","938,539","119,798","14.40%","11.10%","3,779"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.2","%","401,650","44,852","13.60%","8.70%","1,567"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","14.6","%","354,965","51,665","17.50%","11.70%","1,422"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","12.5","%","1,837,949","228,853","13.60%","11.30%","7,300"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.6","%","12,814,535","1,487,513","11.90%","11.40%","60,049"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","13.8","%","5,753,068","791,296","14.20%","13.40%","28,471"
