"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","66","96195","74318","16405","12747","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","43","62203","54961","5750","4984","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","72","104943","104735","1282","1264","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","202","295506","275832","69408","64326","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","141","206379","202499","12661","12400","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","72","105772","93774","5872","5130","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","471","688928","613958","24823","21486","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","56","82202","75105","18315","16475","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","202","295854","281451","454878","435669","76245","75578"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","7067","11496381","10725546","1812758","1685907","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","42","67816","60807","27477","24873","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","76","122913","100741","38937","32145","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3622","5892775","5489460","691782","640444","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2001","3255606","3117743","375919","357284","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","82","133467","103123","21998","17029","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","38","61327","54114","5919","5085","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","65","105229","103871","1311","1284","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","205","334062","307096","77218","70487","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","125","204024","199642","13816","13345","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","67","108694","99216","6395","5564","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","491","799060","704902","30026","25641","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","54","87791","80224","19519","17530","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","199","323615","304607","502440","475196","84824","83309"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4496","388439","324390","82778","69528","4504","4015"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","12","1076","816","497","375","4504","4015"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","201","17389","13473","5318","4148","4504","4015"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1825","157656","132439","22890","19264","4504","4015"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1303","112575","99348","16700","14799","4504","4015"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","222","19137","14078","2704","1962","4504","4015"
