"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.8,," 244,300 "," 2,000 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),4.3,," 244,300 "," 10,500 ",2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.1,," 244,300 "," 10,000 ",2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",19.7,," 244,300 "," 48,100 ",4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),90.7,," 244,300 "," 221,600 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 244,300 "," 23,300 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",20.1,," 244,300 "," 49,000 ",4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",33.6,," 244,300 "," 82,100 ",4.7,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),7.8,," 244,300 "," 19,200 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.4,," 829,100 "," 3,600 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.6,," 829,100 "," 4,900 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.8,," 829,100 "," 47,900 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.5,," 829,100 "," 28,700 ",1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",28.4,," 829,100 "," 235,400 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89.7,," 829,100 "," 744,100 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.7,," 829,100 "," 80,600 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.4,," 829,100 "," 144,300 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29,," 829,100 "," 240,600 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.2,," 829,100 "," 43,300 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 496,100 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.6,," 496,100 "," 3,100 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.3,," 496,100 "," 26,300 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),1.8,," 496,100 "," 8,700 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",32.6,," 496,100 "," 161,700 ",3.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),92.3,," 496,100 "," 457,700 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",17.7,," 496,100 "," 87,800 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15,," 496,100 "," 74,500 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",23.2,," 496,100 "," 115,200 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.7,," 496,100 "," 18,600 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.3,," 26,165,700 "," 334,100 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.9,," 26,165,700 "," 493,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.4,," 26,165,700 "," 2,712,900 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.6,," 26,165,700 "," 1,990,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.1,," 26,165,700 "," 4,738,900 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),78.9,," 26,165,700 "," 20,635,500 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.5,," 26,165,700 "," 2,236,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.2,," 26,165,700 "," 4,244,200 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.3,," 26,165,700 "," 7,940,900 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2012,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 26,165,700 "," 1,474,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.1,," 29,618,000 "," 325,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 29,618,000 "," 529,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.8,," 29,618,000 "," 2,898,200 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.3,," 29,618,000 "," 2,153,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.7,," 29,618,000 "," 5,547,200 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),80.1,," 29,618,000 "," 23,710,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.9,," 29,618,000 "," 2,622,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.7,," 29,618,000 "," 4,931,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.3,," 29,618,000 "," 8,966,300 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 29,618,000 "," 1,643,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 703,600 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 703,600 "," 6,300 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),4.8,," 703,600 "," 33,900 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.2,," 703,600 "," 29,300 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",14,," 703,600 "," 98,600 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),90.1,," 703,600 "," 634,100 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",11.2,," 703,600 "," 78,800 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.3,," 703,600 "," 121,400 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",42.4,," 703,600 "," 298,400 ",3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 703,600 "," 36,900 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 745,200 ", 600 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 745,200 "," 7,600 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.8,," 745,200 "," 65,600 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.6,," 745,200 "," 26,800 ",1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21.7,," 745,200 "," 161,500 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.5,," 745,200 "," 644,700 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",15.7,," 745,200 "," 116,800 ",2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.3,," 745,200 "," 129,200 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.5,," 745,200 "," 212,300 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.3,," 745,200 "," 25,000 ",1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 270,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 270,400 "," 2,400 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5,," 270,400 "," 13,400 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.3,," 270,400 "," 14,400 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21,," 270,400 "," 56,700 ",3.9,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),88.7,," 270,400 "," 239,900 ",3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.2,," 270,400 "," 25,000 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",19.2,," 270,400 "," 52,000 ",3.8,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",32.2,," 270,400 "," 87,200 ",4.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),7,," 270,400 "," 19,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.3,," 821,800 "," 2,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.8,," 821,800 "," 7,000 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.3,," 821,800 "," 52,000 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.9,," 821,800 "," 32,200 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",27.2,," 821,800 "," 223,200 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),88.6,," 821,800 "," 728,000 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.4,," 821,800 "," 77,400 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.5,," 821,800 "," 144,100 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.1,," 821,800 "," 238,800 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.4,," 821,800 "," 44,500 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 527,200 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.6,," 527,200 "," 3,000 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.8,," 527,200 "," 36,100 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.6,," 527,200 "," 13,500 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",33.5,," 527,200 "," 176,900 ",3.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89.9,," 527,200 "," 473,900 ",2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",15,," 527,200 "," 79,100 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.8,," 527,200 "," 88,600 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",22.3,," 527,200 "," 117,800 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2013,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.2,," 527,200 "," 11,500 ",1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 26,536,600 "," 321,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.9,," 26,536,600 "," 503,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.2,," 26,536,600 "," 2,696,700 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.7,," 26,536,600 "," 2,036,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.2,," 26,536,600 "," 4,827,500 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),79.1,," 26,536,600 "," 20,978,800 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.5,," 26,536,600 "," 2,245,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.6,," 26,536,600 "," 4,392,100 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.2,," 26,536,600 "," 8,008,500 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2013,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.7,," 26,536,600 "," 1,505,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 30,240,700 "," 369,100 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 30,240,700 "," 537,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.8,," 30,240,700 "," 2,953,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.2,," 30,240,700 "," 2,190,100 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.7,," 30,240,700 "," 5,648,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),80.0,," 30,240,700 "," 24,190,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.8,," 30,240,700 "," 2,650,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.8,," 30,240,700 "," 5,072,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.0,," 30,240,700 "," 9,078,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.8,," 30,240,700 "," 1,739,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 746,700 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 746,700 "," 5,400 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),4.2,," 746,700 "," 31,700 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.7,," 746,700 "," 27,700 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",17.3,," 746,700 "," 129,100 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),91.2,," 746,700 "," 681,300 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.2,," 746,700 "," 68,900 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.5,," 746,700 "," 130,500 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",42.4,," 746,700 "," 316,300 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.9,," 746,700 "," 36,500 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 800,500 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 800,500 "," 8,200 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.1,," 800,500 "," 73,100 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.3,," 800,500 "," 26,600 ",1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21.1,," 800,500 "," 168,700 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.4,," 800,500 "," 691,900 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",15,," 800,500 "," 120,400 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",18.9,," 800,500 "," 151,700 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.1,," 800,500 "," 225,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.2,," 800,500 "," 26,000 ",1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.3,," 291,900 ", 700 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.3,," 291,900 "," 3,700 ",1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.4,," 291,900 "," 15,700 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.9,," 291,900 "," 8,500 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21.5,," 291,900 "," 62,900 ",3.8,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),90.2,," 291,900 "," 263,200 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.7,," 291,900 "," 25,300 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",22.2,," 291,900 "," 64,700 ",3.8,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30,," 291,900 "," 87,600 ",4.2,
"Proportion of ethnic group who are employed, split by industry",2014,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),7.8,," 291,900 "," 22,700 ",2.5,
