"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Humberside","2","51","3.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Kent","15","51","29.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Kent","34","51","66.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Kent","5","29","17.2"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Lancashire","18","29","62.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Lancashire","6","29","20.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Lancashire","2","42","4.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Leicestershire","20","42","47.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Leicestershire","20","42","47.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Leicestershire","6","10","60.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Lincolnshire","3","10","30.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Lincolnshire","1","10","10.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Merseyside","21","30","70.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Merseyside","5","30","16.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Merseyside","4","30","13.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Metropolitan Police","336","813","41.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Metropolitan Police","390","813","48.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Metropolitan Police","87","813","10.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Norfolk","5","14","35.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Norfolk","6","14","42.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Norfolk","3","14","21.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","North Wales","1","12","8.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","North Wales","7","12","58.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","North Wales","4","12","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","North Yorkshire","3","7","42.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","North Yorkshire","2","7","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","North Yorkshire","2","7","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Northamptonshire","7","15","46.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Northamptonshire","5","15","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Northamptonshire","3","15","20.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Northumbria","3","8","37.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Northumbria","3","8","37.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Northumbria","2","8","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Nottinghamshire","59","123","48.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Nottinghamshire","53","123","43.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Nottinghamshire","11","123","8.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","South Wales","10","21","47.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","South Wales","8","21","38.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","South Wales","3","21","14.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","South Yorkshire","13","40","32.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","South Yorkshire","19","40","47.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","South Yorkshire","8","40","20.0"
