"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","49","915","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","36","915","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","17","915","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","28","915","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","915","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","10","915","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","4","915","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","20","915","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","5","915","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","915","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","915","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","915","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","2","915","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","915","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","915","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","2","915","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","6","915","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","6","915","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","915","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","915","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","915","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","915","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","53","345","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","52","345","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","25","345","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","30","345","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","44","345","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","29","345","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","14","345","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","24","345","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","6","345","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","16","345","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","5","345","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","24","345","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","7","345","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","345","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","10","345","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","345","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","3","345","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","345","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","345","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","1","345","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","5","345","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","2","345","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","345","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","345","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","-","345","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","0","345","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","29","310","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","29","310","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","8","310","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","10","310","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","25","310","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","17","310","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","4","310","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","8","310","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","310","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","4","310","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","2","310","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","7","310","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","310","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","-","310","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","5","310","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","310","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","310","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","310","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","-","310","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","0","310","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","1","310","","","",""
