"Title","Employment by qualification level"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","65.50%","%","60,331","39,524","75.00%","56.00%","240"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.80%","%","475,638","327,060","72.10%","65.50%","1,895"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","80.60%","%","6,230,822","5,022,337","81.00%","80.20%","30,376"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","73.60%","%","6,013,809","4,425,869","74.10%","73.10%","30,504"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","64.70%","%","57,879","37,470","74.30%","55.20%","242"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","57.00%","%","257,701","146,764","61.60%","52.30%","1,077"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","62.10%","%","132,911","82,486","68.80%","55.30%","493"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","60.20%","%","60,135","36,213","70.00%","50.40%","240"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","59.60%","%","508,625","302,932","62.90%","56.20%","2,051"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","72.50%","%","6,525,386","4,730,098","73.00%","72.00%","32,568"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","66.60%","%","4,142,114","2,758,489","67.20%","66.00%","20,794"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","48.90%","%","32,083","15,678","61.90%","35.80%","141"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","53.50%","%","184,245","98,587","58.90%","48.10%","816"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","54.80%","%","99,630","54,590","62.90%","46.70%","362"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","45.40%","%","48,685","22,086","56.70%","34.00%","185"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","52.40%","%","364,643","190,941","56.40%","48.40%","1,504"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","65.40%","%","4,508,037","2,950,353","66.10%","64.80%","22,303"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","72.60%","%","1900211","1379120","73.50%","71.70%","9929"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","58.30%","%","280293","163331","62.70%","53.90%","1218"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","59.20%","%","98686","58394","67.00%","51.40%","383"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","61.30%","%","118436","72560","68.10%","54.40%","482"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","58.80%","%","518102","304863","62.10%","55.60%","2166"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","69.60%","%","2421488","1685289","70.40%","68.80%","12105"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","41.10%","%","3,124,566","1,283,730","41.80%","40.40%","17,423"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","29.80%","%","29,958","8,939","42.10%","17.50%","133"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","36.10%","%","355,416","128,129","39.70%","32.40%","1,630"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","34.10%","%","110,175","37,528","41.10%","27.00%","437"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","41.00%","%","112,385","46,125","48.20%","33.90%","455"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","36.30%","%","607,934","220,721","39.20%","33.40%","2,655"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","40.30%","%","3,733,999","1,504,985","41.00%","39.60%","20,087"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","62.80%","%","93000","58413","67.20%","58.40%","466"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","58.60%","%","116015","67951","62.70%","54.40%","544"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","74.90%","%","31,994,558","23,971,716","75.10%","74.70%","160,291"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","66.80%","%","343,093","229,289","70.80%","62.90%","1,371"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","64.30%","%","2,256,867","1,451,367","65.80%","62.80%","9,497"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","66.20%","%","974,076","645,157","68.60%","63.80%","3,732"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","65.40%","%","758,381","495,758","68.00%","62.70%","3,036"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","65.10%","%","4,332,417","2,821,571","66.20%","64.00%","17,636"
