"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","London, City of","Police Force Area","224"," 4,987 "," N/A "," N/A ","4.5%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","London, City of","Police Force Area","786"," N/A "," N/A "," N/A ","N/A","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Merseyside","Police Force Area","45,534"," 47,869 ","1,305,303","34.88","95.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Merseyside","Police Force Area","292"," 47,869 ","18,851","15.49","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Merseyside","Police Force Area","1,126"," 47,869 ","14,552","77.38","2.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Merseyside","Police Force Area","327"," 47,869 ","21,529","15.19","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Merseyside","Police Force Area","590"," 47,869 ","20,954","28.16","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Merseyside","Police Force Area","557"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Metropolitan Police","Police Force Area","126,639"," 272,906 ","4,881,636","25.94","46.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Metropolitan Police","Police Force Area","36,599"," 272,906 ","1,386,619","26.39","13.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Metropolitan Police","Police Force Area","93,506"," 272,906 ","1,088,447","85.91","34.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Metropolitan Police","Police Force Area","6,532"," 272,906 ","404,874","16.13","2.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Metropolitan Police","Police Force Area","9,630"," 272,906 ","404,990","23.78","3.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Metropolitan Police","Police Force Area","66,907"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Norfolk","Police Force Area","7,818"," 8,294 ","828,018","9.44","94.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Norfolk","Police Force Area","89"," 8,294 ","9,809","9.07","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Norfolk","Police Force Area","235"," 8,294 ","4,609","50.99","2.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Norfolk","Police Force Area","29"," 8,294 ","5,425","5.35","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Norfolk","Police Force Area","123"," 8,294 ","10,027","12.27","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Norfolk","Police Force Area","211"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","North Wales","Police Force Area","14,213"," 14,468 ","670,704","21.19","98.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","North Wales","Police Force Area","34"," 14,468 ","6,336","5.37","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","North Wales","Police Force Area","40"," 14,468 ","1,497","26.72","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","North Wales","Police Force Area","17"," 14,468 ","4,450","3.82","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","North Wales","Police Force Area","164"," 14,468 ","4,950","33.13","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","North Wales","Police Force Area","82"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","North Yorkshire","Police Force Area","8,968"," 9,218 ","769,206","11.66","97.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","North Yorkshire","Police Force Area","123"," 9,218 ","9,914","12.41","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","North Yorkshire","Police Force Area","55"," 9,218 ","3,618","15.20","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","North Yorkshire","Police Force Area","11"," 9,218 ","6,233","1.76","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","North Yorkshire","Police Force Area","61"," 9,218 ","7,456","8.18","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","North Yorkshire","Police Force Area","1,286"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Northamptonshire","Police Force Area","11,339"," 13,174 ","632,822","17.92","86.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Northamptonshire","Police Force Area","479"," 13,174 ","22,581","21.21","3.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Northamptonshire","Police Force Area","788"," 13,174 ","16,923","46.56","6.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Northamptonshire","Police Force Area","85"," 13,174 ","5,444","15.61","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Northamptonshire","Police Force Area","483"," 13,174 ","14,182","34.06","3.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Northamptonshire","Police Force Area","431"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Northumbria","Police Force Area","33,127"," 33,720 ","1,343,747","24.65","98.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Northumbria","Police Force Area","322"," 33,720 ","37,782","8.52","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Northumbria","Police Force Area","166"," 33,720 ","9,006","18.43","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Northumbria","Police Force Area","27"," 33,720 ","17,871","1.51","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Northumbria","Police Force Area","78"," 33,720 ","12,447","6.27","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Northumbria","Police Force Area","108"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Nottinghamshire","Police Force Area","6,800"," 8,638 ","969,501","7.01","78.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Nottinghamshire","Police Force Area","410"," 8,638 ","48,248","8.50","4.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Nottinghamshire","Police Force Area","918"," 8,638 ","27,287","33.64","10.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Nottinghamshire","Police Force Area","76"," 8,638 ","15,465","4.91","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Nottinghamshire","Police Force Area","434"," 8,638 ","30,981","14.01","5.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Nottinghamshire","Police Force Area","1,306"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","South Wales","Police Force Area","12,854"," 13,906 ","1,198,458","10.73","92.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","South Wales","Police Force Area","320"," 13,906 ","35,804","8.94","2.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","South Wales","Police Force Area","437"," 13,906 ","12,738","34.31","3.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","South Wales","Police Force Area","71"," 13,906 ","18,889","3.76","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","South Wales","Police Force Area","224"," 13,906 ","17,762","12.61","1.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","South Wales","Police Force Area","295"," N/A ","N/A","N/A","N/A","","","","","",""
