"Title","Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Value_type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Gateshead","Local Authority","E08000037","Boys","All pupils","36.1","%","933"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local Authority","E06000001","Boys","All pupils","34.8","%","486"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local Authority","E06000002","Boys","All pupils","31.8","%","560"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","31.3","%","943"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","North Tyneside","Local Authority","E08000022","Boys","All pupils","39.2","%","949"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local Authority","E06000057","Boys","All pupils","36.8","%","1545"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","39.7","%","726"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","South Tyneside","Local Authority","E08000023","Boys","All pupils","30.5","%","709"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","39.7","%","863"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Sunderland","Local Authority","E08000024","Boys","All pupils","30.6","%","1351"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","32.2","%","435"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Blackpool","Local Authority","E06000009","Boys","All pupils","23.8","%","537"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Bolton","Local Authority","E08000001","Boys","All pupils","32.3","%","1172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Bury","Local Authority","E08000002","Boys","All pupils","34.2","%","878"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Cheshire East","Local Authority","E06000049","Boys","All pupils","44.7","%","1691"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","37.0","%","1689"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Cumbria","Local Authority","E10000006","Boys","All pupils","39.5","%","2317"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Halton","Local Authority","E06000006","Boys","All pupils","24.8","%","653"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Knowsley","Local Authority","E08000011","Boys","All pupils","25.9","%","501"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Lancashire","Local Authority","E10000017","Boys","All pupils","38.9","%","5367"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Liverpool","Local Authority","E08000012","Boys","All pupils","33.1","%","1903"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Manchester","Local Authority","E08000003","Boys","All pupils","25.0","%","1060"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Oldham","Local Authority","E08000004","Boys","All pupils","35.5","%","916"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Rochdale","Local Authority","E08000005","Boys","All pupils","29.7","%","767"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Salford","Local Authority","E08000006","Boys","All pupils","26.7","%","884"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Sefton","Local Authority","E08000014","Boys","All pupils","35.2","%","1459"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","St. Helens","Local Authority","E08000013","Boys","All pupils","36.5","%","769"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Stockport","Local Authority","E08000007","Boys","All pupils","41.5","%","1119"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Tameside","Local Authority","E08000008","Boys","All pupils","36.0","%","984"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Trafford","Local Authority","E08000009","Boys","All pupils","58.4","%","1015"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Warrington","Local Authority","E06000007","Boys","All pupils","42.3","%","1098"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Wigan","Local Authority","E08000010","Boys","All pupils","33.7","%","1604"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Wirral","Local Authority","E08000015","Boys","All pupils","40.8","%","1608"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Barnsley","Local Authority","E08000016","Boys","All pupils","36.0","%","1036"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Bradford","Local Authority","E08000032","Boys","All pupils","32.6","%","1360"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Calderdale","Local Authority","E08000033","Boys","All pupils","44.8","%","1010"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Doncaster","Local Authority","E08000017","Boys","All pupils","35.7","%","1402"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","42.6","%","1619"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","26.8","%","1064"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Kirklees","Local Authority","E08000034","Boys","All pupils","41.0","%","1434"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Leeds","Local Authority","E08000035","Boys","All pupils","39.7","%","2755"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","33.6","%","718"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","34.5","%","808"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","North Yorkshire","Local Authority","E10000023","Boys","All pupils","46.0","%","2873"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Rotherham","Local Authority","E08000018","Boys","All pupils","35.4","%","1360"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Sheffield","Local Authority","E08000019","Boys","All pupils","37.4","%","2002"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Wakefield","Local Authority","E08000036","Boys","All pupils","39.5","%","1586"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","York","Local Authority","E06000014","Boys","All pupils","44.7","%","772"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Derby","Local Authority","E06000015","Boys","All pupils","35.9","%","1023"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Derbyshire","Local Authority","E10000007","Boys","All pupils","38.8","%","3505"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Leicester","Local Authority","E06000016","Boys","All pupils","22.9","%","594"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Leicestershire","Local Authority","E10000018","Boys","All pupils","41.0","%","3061"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Lincolnshire","Local Authority","E10000019","Boys","All pupils","39.5","%","3593"
