"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","153"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","80"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.00%","19804","5540","29.00%","27.00%","18791"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.50%","15980","4397","28.50%","26.50%","16535"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.90%","705","190","32.30%","22.10%","604"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","33.20%","2022","671","37.40%","29.20%","1029"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.50%","531","162","40.70%","21.80%","295"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","63"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","20.50%","276","57","30.40%","13.30%","162"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","103"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.50%","18828","5185","28.70%","26.40%","14780"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.10%","16554","4489","28.30%","26.00%","13614"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.40%","538","142","32.90%","20.80%","400"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.50%","1153","363","37.40%","26.10%","449"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","38.70%","215","83","51.50%","27.30%","118"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","35"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","94"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","70"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","14.40%","27119","3902","15.20%","13.60%","12744"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","12.50%","19416","2432","13.40%","11.70%","9830"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","13.50%","1166","158","17.90%","10.10%","614"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.20%","3649","811","25.50%","19.20%","1212"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.60%","1111","207","24.00%","14.20%","388"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.40%","354","86","34.50%","16.50%","152"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","15.30%","1038","159","20.90%","11.00%","408"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","140"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","19.30%","31429","6076","20.10%","18.60%","23674"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.90%","21985","3724","17.80%","16.10%","17691"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","20.30%","3662","744","22.80%","18.10%","2669"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","29.90%","3292","986","33.20%","26.90%","1800"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.30%","748","204","35.10%","20.60%","460"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.10%","435","140","41.30%","24.10%","272"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","17.50%","756","132","22.80%","13.30%","483"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.60%","552","147","34.30%","20.00%","299"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","19.90%","29447","5865","20.60%","19.20%","29805"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.90%","21330","3601","17.60%","16.20%","22976"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.20%","2579","599","25.60%","21.00%","2694"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","33.10%","3264","1080","36.10%","30.20%","2378"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.10%","894","234","31.10%","21.70%","663"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.10%","296","89","38.90%","22.50%","268"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.30%","494","80","21.50%","12.20%","418"
